127.0.0.1 - - [21/Nov/2023:12:00:57 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:02:58 +0530] "GET /tendermanagement/loginFailed.jsp HTTP/1.1" 200 21125
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:01 +0530] "GET /tendermanagement/loginFailed.jsp HTTP/1.1" 200 21125
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:05 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:10 +0530] "GET /tendermanagement/vendorViewTender.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:10 +0530] "GET /tendermanagement/loginFailed.jsp HTTP/1.1" 200 21125
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:53 +0530] "GET /tendermanagement/register.jsp HTTP/1.1" 200 21345
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:03:59 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:04:01 +0530] "GET /tendermanagement/register.jsp HTTP/1.1" 200 21345
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:04:03 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:04:05 +0530] "GET /tendermanagement/register.jsp HTTP/1.1" 200 21345
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:05:20 +0530] "GET /tendermanagement/register.jsp HTTP/1.1" 200 21345
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:05:23 +0530] "GET /tendermanagement/login.jsp HTTP/1.1" 200 21155
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:23:26 +0530] "GET /tendermanagement/login.jsp HTTP/1.1" 200 21155
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:23:41 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 20468
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:23:54 +0530] "GET /tendermanagement/LogoutSrv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:23:55 +0530] "GET /tendermanagement/logoutSuccess.jsp HTTP/1.1" 200 23149
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:23:58 +0530] "GET /tendermanagement/login.jsp HTTP/1.1" 200 21155
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:24:05 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 20468
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:25:40 +0530] "GET /tendermanagement/bidTender.jsp HTTP/1.1" 200 18780
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:30:33 +0530] "GET /tendermanagement/LogoutSrv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:30:33 +0530] "GET /tendermanagement/logoutSuccess.jsp HTTP/1.1" 200 23149
0:0:0:0:0:0:0:1 - - [21/Nov/2023:12:33:31 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:45:57 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:45:58 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:01 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:35 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:36 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:37 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:38 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:38 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:39 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23082
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:46:48 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23080
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:47:08 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:47:09 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:47:10 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:47:29 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:47:56 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:50:42 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:50:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:50:43 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23084
0:0:0:0:0:0:0:1 - - [21/Nov/2023:14:54:47 +0530] "GET /tendermanagement/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:01:52 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 22303
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:02:19 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 22303
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:03:12 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23071
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:04:13 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 23033
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:04:39 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 22242
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:06:05 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21268
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:06:06 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21268
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:06:31 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21254
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:06:58 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21258
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:07:55 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21227
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:08:19 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:08:57 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:00 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:40 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:41 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:42 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:43 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:43 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:09:43 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21252
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:10:05 +0530] "GET /tendermanagement/login.jsp HTTP/1.1" 200 19318
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:10:13 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 18502
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:12:24 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:12:27 +0530] "GET /tendermanagement/LogoutSrv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:12:27 +0530] "GET /tendermanagement/logoutSuccess.jsp HTTP/1.1" 200 21277
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:12:46 +0530] "GET /tendermanagement/logoutSuccess.jsp HTTP/1.1" 200 21131
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:14:11 +0530] "GET /tendermanagement/index.jsp HTTP/1.1" 200 21070
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:14:16 +0530] "GET /tendermanagement/vendorViewTender.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:14:16 +0530] "GET /tendermanagement/loginFailed.jsp HTTP/1.1" 200 19106
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:14:26 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 18596
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:14:34 +0530] "GET /tendermanagement/vendorViewTender.jsp HTTP/1.1" 200 20367
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:15:22 +0530] "GET /tendermanagement/bidTender.jsp HTTP/1.1" 200 16908
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:15:50 +0530] "GET /tendermanagement/bidTenderForm.jsp?tid=T20190725101239&&vid=V20231003065346 HTTP/1.1" 200 20523
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:13 +0530] "GET /tendermanagement/bidHistory.jsp HTTP/1.1" 200 18746
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:21 +0530] "GET /tendermanagement/bidHistory.jsp HTTP/1.1" 200 18746
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:26 +0530] "GET /tendermanagement/viewProfile.jsp HTTP/1.1" 200 19873
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:38 +0530] "GET /tendermanagement/LogoutSrv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:38 +0530] "GET /tendermanagement/logoutSuccess.jsp HTTP/1.1" 200 21131
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:40 +0530] "GET /tendermanagement/login.jsp HTTP/1.1" 200 19136
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:16:50 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 19229
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:17:06 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 19229
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:17:11 +0530] "GET /tendermanagement/register.jsp HTTP/1.1" 200 19330
0:0:0:0:0:0:0:1 - - [21/Nov/2023:15:20:58 +0530] "POST /tendermanagement/LoginSrv HTTP/1.1" 200 19229
